"book_author_id";"author_order";"book_id";"author_id"
1;1;1;1
2;1;2;2
3;1;3;3
4;1;4;4
5;1;5;5
6;1;6;5
7;1;7;6
8;1;8;5
9;1;9;7
10;1;10;5
11;1;11;8
12;1;12;2
13;1;13;9
14;1;14;10
15;1;15;1
16;1;16;11
17;1;17;12
18;1;18;13
19;1;19;14
20;1;20;15
21;1;21;1
22;1;22;1
23;1;23;1
24;1;24;1
25;1;25;16
26;1;26;17
27;1;27;17
28;1;28;18
29;1;29;19
30;1;30;19
31;1;31;20
32;1;32;21
33;1;33;22
34;1;34;18
35;1;35;23
36;1;36;24
37;1;37;25
38;1;38;26
39;1;39;27
40;1;40;28
41;1;41;29
42;1;42;16
43;1;43;30
44;1;44;1
45;1;45;3
46;1;46;31
